# qid|name|dob|ig|x|tt|countries|srcs|urls|wiki|teams|occs|sports|group  (session 16 master, collapsed by QID)
Q16526207|Aliona Martiniuc|1991-06-22|wagneralionka|||Moldova|||||Q15117302=volleyball player|Q1734=volleyball|intl
Q16526587|Ana Silva|1991-04-08|carolana15|||Brazil|||https://en.wikipedia.org/wiki/Ana_Carolina_da_Silva||Q15117302=volleyball player;Q17361156=beach volleyball player|Q1734=volleyball|beach
Q16527573|Alena Fedarynchyk|1993-07-03|alesha_f7|||Belarus|||https://en.wikipedia.org/wiki/Alena_Fedarynchyk||Q15117302=volleyball player|Q1734=volleyball;Q4543=beach volleyball|beach
Q16647881|Kaja Grobelna|1995-01-04|kajagrobelna|||Belgium|VBL database||https://en.wikipedia.org/wiki/Kaja_Grobelna||Q15117302=volleyball player|Q1734=volleyball|intl
Q16653193|Lara Nobre|1989-02-11|larinha_nobre|||Brazil|||https://en.wikipedia.org/wiki/Lara_Nobre||Q15117302=volleyball player|Q1734=volleyball|intl
Q16663617|María Lamprinídou|1986-06-29|marialampri|||Greece||http://www.worldofvolley.com/wov-community/players/13913.html|||Q15117302=volleyball player|Q1734=volleyball|intl
Q16666029|Nadzeya Smirnova|1990-12-14|masiania1412|||Belarus||http://www.bvbinfo.com/player.asp?ID=12295|https://en.wikipedia.org/wiki/Nadzeya_Malasai||Q15117302=volleyball player|Q1734=volleyball;Q4543=beach volleyball|beach
Q16683779|Yuliya Gerasymova|1989-09-15|krosha9||youliyagerasimova|Ukraine||http://www.worldofvolley.com/wov-community/players/13737.html|https://en.wikipedia.org/wiki/Yuliya_Gerasymova||Q15117302=volleyball player|Q1734=volleyball|intl
Q16739002|Michele Gumabao|1992-09-02|gumabaomichele|gumabaomichele||Philippines|||https://en.wikipedia.org/wiki/Michele_Gumabao||Q15117302=volleyball player;Q3665646=basketball player|Q5372=basketball|intl
Q16893346|Katerina Giota|1990-07-03|katerina_giota_|||Greece||http://www.worldofvolley.com/wov-community/players/17052.html|https://en.wikipedia.org/wiki/Katerina_Giota||Q15117302=volleyball player|Q1734=volleyball|intl
Q16929668|Dora Grozer|1995-11-21|dora_grozer|||Germany||http://www.worldofvolley.com/wov-community/players/62497.html|||Q15117302=volleyball player|Q1734=volleyball|intl
Q16999763|Audrey Cooper|1964-12-07||ladycoach_coops||United Kingdom||http://www.bvbinfo.com/player.asp?ID=1312|https://en.wikipedia.org/wiki/Audrey_Cooper_(volleyball)||Q15117302=volleyball player|Q1734=volleyball;Q4543=beach volleyball|beach
Q17159624|Zhu Ting|1994-11-29|zhuting1129|||People's Republic of China|Olympedia||https://en.wikipedia.org/wiki/Zhu_Ting_(volleyball)||Q15117302=volleyball player|Q1734=volleyball|intl
Q17160036|Chiyo Suzuki|1993-11-18|chiyo.0514|ponchi4355||Japan|||||Q15117302=volleyball player|Q4543=beach volleyball|beach
Q17180767|Aby Maraño|1992-12-22|abymarano|||Philippines|||https://en.wikipedia.org/wiki/Aby_Mara%C3%B1o||Q15117302=volleyball player;Q3665646=basketball player|Q5372=basketball|intl
Q17265995|Kelsey Robinson|1992-06-25|krobin32|||United States|||https://en.wikipedia.org/wiki/Kelsey_Robinson|Nebraska Cornhuskers women's volleyball;Tennessee Lady Volunteers volleyball;United States women's national volleyball team|Q15117302=volleyball player;Q17361156=beach volleyball player|Q1734=volleyball|beach
Q17266623|Martyna Grajber|1995-03-28|here_marcia|||Poland||http://www.worldofvolley.com/wov-community/players/14896.html|https://en.wikipedia.org/wiki/Martyna_Grajber||Q15117302=volleyball player|Q1734=volleyball|intl
Q17285056|Molly Kreklow|1992-02-17|mkreklowtaylor|||United States|Volleybox;WorldofVolley||https://en.wikipedia.org/wiki/Molly_Kreklow|Missouri Tigers women's volleyball|Q15117302=volleyball player|Q1734=volleyball|ncaa
Q17290262|Simona Kóšová|1992-03-27|simkaa11|||Slovakia|FIVB database;VBL database;Volleybox;WorldofVolley||||Q15117302=volleyball player|Q1734=volleyball|intl
Q17349950|An Saita|1993-01-27|an_saita|an01hng||Japan|VBL database||||Q15117302=volleyball player|Q1734=volleyball|intl
Q17350640|Anastasiya Harelik|1991-03-20|anastasiya_harelik|||Belarus;Russia|||https://en.wikipedia.org/wiki/Anastasiya_Harelik||Q15117302=volleyball player|Q1734=volleyball|intl
Q17399571|Beatrice Parrocchiale|1995-12-26|bealibero|||Italy|||https://en.wikipedia.org/wiki/Beatrice_Parrocchiale||Q15117302=volleyball player|Q1734=volleyball|intl
Q18637953|Aleona Denise Santiago|1993-09-26|dindinquickersantiago|||Philippines|||https://en.wikipedia.org/wiki/Dindin_Santiago-Manabat||Q15117302=volleyball player|Q1734=volleyball|intl
Q18812039|Micha Hancock|1992-11-10|michahancock|||United States|Freebase Data Dumps||https://en.wikipedia.org/wiki/Micha_Hancock|Penn State Nittany Lions women's volleyball;United States women's national volleyball team|Q15117302=volleyball player|Q1734=volleyball|ncaa
Q18822173|Susan Egoavil|1988-01-16||susan_indira||Peru|InterSportStats|http://www.worldofvolley.com/wov-community/players/50762.html|https://en.wikipedia.org/wiki/Susan_Egoavil||Q15117302=volleyball player|Q1734=volleyball|intl
Q19577569|Taylor Pischke|1993-04-18|taylor_pischke|taylorpischke||Canada||http://www.bvbinfo.com/player.asp?ID=14046|https://en.wikipedia.org/wiki/Taylor_Wilson_(volleyball)|UC Santa Barbara Gauchos women's volleyball|Q17361156=beach volleyball player|Q4543=beach volleyball|beach
Q19650270|Tricia Santos|1995-05-18|itstricias|||Philippines|||https://en.wikipedia.org/wiki/Tricia_Santos||Q15117302=volleyball player;Q33999=actor;Q4610556=model|Q1734=volleyball|intl
Q19912309|Sydel Curry|1994-10-20|sydelcurry|sydelcurry||United States||https://www.famousbirthdays.com/people/sydel-curry.html|||Q15117302=volleyball player|Q1734=volleyball|intl
Q19984711|Haley Eckerman|1992-11-10|haymama10|||United States|||https://en.wikipedia.org/wiki/Haley_Eckerman|Texas Longhorns women's volleyball|Q15117302=volleyball player|Q1734=volleyball|ncaa
Q20666400|Macris Carneiro|1989-03-03|macriscarneiro|||Brazil||https://www.cob.org.br/pt/cob/time-brasil/atletas/macris-carneiro/|https://en.wikipedia.org/wiki/Macris_Carneiro||Q15117302=volleyball player|Q1734=volleyball|intl
Q20675990|Tanya Beths|1989-01-16|tanyabeths|TanyaBeths||Australia|||https://en.wikipedia.org/wiki/Tanya_Beths||Q12840545=handball player;Q17361156=beach volleyball player;Q4610556=model;Q57749966=beach handball player|Q8418=handball|beach
Q20676337|Cha Cruz|1988-05-11|chaarcruz|chaarcruz||Philippines|||https://en.wikipedia.org/wiki/Cha_Cruz-Behag||Q15117302=volleyball player|Q1734=volleyball|intl
Q20676522|Kim Kianna Dy|1995-07-26|kiannady|||Philippines||http://www.worldofvolley.com/wov-community/players/90452.html|https://en.wikipedia.org/wiki/Kim_Kianna_Dy||Q15117302=volleyball player|Q1734=volleyball|intl
Q20677029|Melissa Humana-Paredes|1992-10-10|melissahumanaparedes|melissa_hp10||Canada||http://www.bvbinfo.com/player.asp?ID=10798|https://en.wikipedia.org/wiki/Melissa_Humana-Paredes||Q17361156=beach volleyball player|Q4543=beach volleyball|beach
Q20723829|Rosamaria Montibeller|1994-04-09|rosamariaoficial|||Brazil|Olympedia|http://www.worldofvolley.com/wov-community/players/7060.html|https://en.wikipedia.org/wiki/Rosamaria_Montibeller||Q15117302=volleyball player|Q1734=volleyball|intl
Q20740830|Kim Fajardo|1993-09-30|kimfajardo9|kimfajardo9||Philippines|||https://en.wikipedia.org/wiki/Kim_Fajardo||Q15117302=volleyball player|Q1734=volleyball|intl
Q20745228|Mika Reyes|1994-06-21|reyesmikaaa|mikareyesss||Philippines|||https://en.wikipedia.org/wiki/Mika_Reyes||Q15117302=volleyball player|Q1734=volleyball|intl
Q20851326|Nina Herelová|1993-07-30|niniqe|||Slovakia|Volleybox;svf.sk|http://www.svf.sk/sk/reprezentacia/zeny/repre/blokar/nina-herelova/|https://en.wikipedia.org/wiki/Nina_Herelov%C3%A1||Q15117302=volleyball player|Q1734=volleyball|intl
Q20987611|Maret Grothues|1988-09-16|maret1988|MareGrothu||Kingdom of the Netherlands|Olympedia||https://en.wikipedia.org/wiki/Maret_Grothues||Q15117302=volleyball player|Q1734=volleyball|intl
Q20993714|Mira Todorova|1994-04-12|miraatodorova|||Bulgaria||https://www.volleyball.world/en/vnl/2019/women/teams/bul-bulgaria/players/mira-todorova?id=70857|https://en.wikipedia.org/wiki/Mira_Todorova||Q15117302=volleyball player|Q1734=volleyball|intl
Q21020323|Suellen Lima|1989-11-04|suellendellangelica|||Brazil|||https://en.wikipedia.org/wiki/Suellen_Cristine_Delangelica_Lima||Q15117302=volleyball player|Q1734=volleyball|intl
Q21035426|Bianka Buša|1994-07-25|biankica_1|||Serbia|||https://en.wikipedia.org/wiki/Bianka_Bu%C5%A1a||Q15117302=volleyball player|Q1734=volleyball|intl
Q21064253|Carmela Tunay|1995-06-08|carmelaloo08|||Philippines|||https://en.wikipedia.org/wiki/Carmela_Tunay||Q15117302=volleyball player;Q33999=actor|Q1734=volleyball|intl
Q22070170|Katherine Bell|1993-03-05|_khatbell|_khatbell||United States|||https://en.wikipedia.org/wiki/Khat_Bell||Q15117302=volleyball player|Q1734=volleyball|intl
Q22668149|Maryna Paulava|1989-01-21|mari_paulava|||Belarus|||||Q15117302=volleyball player|Q1734=volleyball;Q4543=beach volleyball|beach
Q22956611|Andrea Aguilera|1993-09-24|andreaaguileraoficial|||Colombia|||https://en.wikipedia.org/wiki/Andrea_Aguilera_(Colombian_model)||Q15117302=volleyball player|Q1734=volleyball|intl
Q22956632|Triza Atuka|1992-04-14|trizahatuka||||||https://en.wikipedia.org/wiki/Triza_Atuka||Q15117302=volleyball player|Q1734=volleyball|intl
Q22956635|Baek Mok-hwa|1989-08-30|moka_latte_12|||South Korea|||https://en.wikipedia.org/wiki/Baek_Mok-hwa||Q15117302=volleyball player|Q1734=volleyball|intl
Q22956668|Danielle Brisebois|1994-08-12|danibreez|||Canada||https://www.cev.eu/PlayerDetail.aspx?PlayerID=75460|||Q15117302=volleyball player|Q1734=volleyball|intl
Q22956687|Chae Seon-ah|1992-06-08|seonahchae|||South Korea|||https://en.wikipedia.org/wiki/Chae_Seon-ah||Q15117302=volleyball player|Q1734=volleyball|intl
Q22956928|Nathalie Lemmens|1995-03-12|nathalielemmens|||Belgium|VBL database;Volleybox;WorldofVolley|https://www.dscvolley.de/nathalie-lemmens/|||Q15117302=volleyball player|Q1734=volleyball|intl
Q22956987|Iza Mlakar|1995-11-14|izamlakar1|iza_mlakar||Slovenia|||||Q15117302=volleyball player|Q1734=volleyball|intl
Q22957024|Julie Oliveira|1995-04-01|julie0lvr|||France|||||Q15117302=volleyball player|Q1734=volleyball|intl
Q22957038|Ágnes Pallag|1993-09-02|agnespallag|||Hungary||https://1.bundesliga.vfb-suhl.de/player/agnes-pallag/|https://en.wikipedia.org/wiki/%C3%81gnes_Pallag||Q15117302=volleyball player|Q1734=volleyball|intl
Q22957162|Gréta Szakmáry|1991-12-31|szakygreta|||Hungary||http://www.cev.lu/PlayerDetail.aspx?PlayerID=7048|https://en.wikipedia.org/wiki/Gr%C3%A9ta_Szakm%C3%A1ry||Q15117302=volleyball player|Q1734=volleyball|intl
Q22957168|Alla Teterina|1962-02-24|superttera|||Azerbaijan|||https://en.wikipedia.org/wiki/Alla_Teterina||Q15117302=volleyball player|Q1734=volleyball|intl
Q23020603|Emma Wiggs|1980-06-14|emmawiggs|emwiggsy||United Kingdom|||https://en.wikipedia.org/wiki/Emma_Wiggs||Q121518410=para canoeist;Q15117302=volleyball player|Q213934=canoeing and kayaking|intl
Q23542727|Jani Batista|1986-08-13|janiatleta.oficial|||Brazil||https://cpb.org.br/atletas/jani-freitas-batista/|||Q15117302=volleyball player|Q1734=volleyball|intl
Q23664770|Nathalie Filomena|1990-04-13|nathaliefilomena|||Brazil|||https://en.wikipedia.org/wiki/Nathalie_Filomena||Q15117302=volleyball player|Q1734=volleyball|intl
Q23872232|Andrea Drews|1993-12-25|adrews04|||United States|||https://en.wikipedia.org/wiki/Andrea_Drews|Purdue Boilermakers women's volleyball;United States women's national volleyball team|Q15117302=volleyball player|Q1734=volleyball|ncaa
Q23879958|Monika Sta. Maria|1991-07-13|monikastamaria|||Philippines|||https://en.wikipedia.org/wiki/Monika_Sta._Maria||Q15117302=volleyball player;Q33999=actor;Q4610556=model|Q1734=volleyball|intl
Q24451753|Majoy Baron|1995-12-10|majoybaron|||Philippines|||https://en.wikipedia.org/wiki/Majoy_Baron||Q15117302=volleyball player|Q1734=volleyball|intl
Q24687021|Nina Brunner|1995-10-14|ninabru.nner|||Switzerland|Olympedia||https://en.wikipedia.org/wiki/Nina_Brunner||Q15117302=volleyball player;Q17361156=beach volleyball player|Q4543=beach volleyball|beach
Q24954247|Nur Sevil Aydınlar|1995-11-28|nursevilaydnlr|NurSevilAydnlr||Turkey|||||Q15117302=volleyball player|Q1734=volleyball|intl
Q24956528|Megan Courtney|1993-10-27|megcourt17|||United States|||https://en.wikipedia.org/wiki/Megan_Courtney|Penn State Nittany Lions women's volleyball|Q15117302=volleyball player|Q1734=volleyball|ncaa
Q25473387|Sezgi Sena Akay|1995-10-31|sezgisenaakay|senasezgiakay||Turkey|Česko-Slovenská filmová databáze||https://en.wikipedia.org/wiki/Sezgi_Sena_Akay||Q15117302=volleyball player;Q33999=actor;Q4610556=model|Q1734=volleyball|intl
Q25970442|Frauke Neuhaus|1993-04-20|frau_casanova|||Germany|FIVB database;VBL database;WorldofVolley|http://www.ladies-in-black.de/neuzugang-nummer-5-ist-eine-junge-deutsche-diagonalspielerin/|||Q15117302=volleyball player|Q1734=volleyball|intl
Q26262233|Lindsay Dowd|1991-05-14|nodowdaboutit4|||United States|Volleybox|||UC Davis Aggies women's volleyball|Q15117302=volleyball player|Q1734=volleyball|ncaa
Q27267600|Laiana Batista|1982-05-08|laianarodrigues12|||Brazil|||https://en.wikipedia.org/wiki/Laiana_Batista||Q15117302=volleyball player|Q1734=volleyball|intl
Q27808285|Alena Laziuk|1990-07-24|alenalozyk|||Belarus||https://women.volleybox.net/alena-laziuk-p19759/clubs|||Q15117302=volleyball player;Q2066131=athlete|Q1734=volleyball|intl
Q28682594|Kaori Okamoto|1975-12-11|kaorin1211|kaorin1211|laughcrowns|Japan|||||Q15117302=volleyball player;Q270389=news presenter||intl
Q29358891|Ekaterina Evdokimova|1994-09-10|makarena7059|||Russia|||https://en.wikipedia.org/wiki/Ekaterina_Evdokimova||Q15117302=volleyball player|Q1734=volleyball|intl
Q31277583|Aliki Konstantinidou|1969-06-26|alicia_kon|||Greece|||https://en.wikipedia.org/wiki/Aliki_Konstantinidou||Q15117302=volleyball player|Q1734=volleyball|intl
Q32959458|Brandie Wilkerson|1992-07-01|bvuilleumier|||Canada;Switzerland;United States||http://www.bvbinfo.com/player.asp?ID=14956|https://en.wikipedia.org/wiki/Brandie_Wilkerson||Q17361156=beach volleyball player|Q4543=beach volleyball|beach
Q32979670|Camille Saxton|1991-04-08|mrscamilleee|camillesaxton||Canada||http://www.bvbinfo.com/player.asp?ID=14937|||Q17361156=beach volleyball player|Q4543=beach volleyball|beach
Q33059544|Sara Hughes|1995-02-14|sarahughesbeach||sarahughesbeach|United States||http://www.bvbinfo.com/player.asp?ID=13154|https://en.wikipedia.org/wiki/Sara_Hughes||Q17361156=beach volleyball player|Q4543=beach volleyball|beach
Q33059883|Kelly Cheng|1995-09-18|kellycheng|||United States||http://www.bvbinfo.com/player.asp?ID=14478|https://en.wikipedia.org/wiki/Kelly_Cheng||Q17361156=beach volleyball player|Q4543=beach volleyball|beach
Q33709942|Jelena Šunjić|1994-01-04|jelena_24|||Croatia||http://www.theohofland.nl/female-players-opposite/Jelena-Sunjic/219.html|||Q15117302=volleyball player|Q1734=volleyball|intl
Q34333837|Gabriela Filippo|1986-07-21|gabifilippo_|||Paraguay||http://www.bvbinfo.com/player.asp?ID=16160|||Q17361156=beach volleyball player|Q4543=beach volleyball|beach
Q35650757|Paula Soria Gutiérrez|1993-01-31|paula.soria.gutierrez|||Spain|||https://en.wikipedia.org/wiki/Paula_Soria||Q15117302=volleyball player;Q17361156=beach volleyball player|Q4543=beach volleyball|beach
Q39523178|Lauren Carlini|1995-02-28|laurencarlini|||United States|||https://en.wikipedia.org/wiki/Lauren_Carlini|United States women's national volleyball team;Wisconsin Badgers women's volleyball|Q15117302=volleyball player|Q1734=volleyball|ncaa
Q39523235|Justine Wong-Orantes|1995-10-06|jwongorantes|||United States||http://www.bvbinfo.com/player.asp?ID=13155;https://huskers.com/sports/volleyball/roster/season/2016/player/justine-wong-orantes|https://en.wikipedia.org/wiki/Justine_Wong-Orantes|Nebraska Cornhuskers women's volleyball;United States women's national volleyball team|Q15117302=volleyball player|Q1734=volleyball;Q4543=beach volleyball|beach
Q41799642|Ivana Vanjak|1995-05-30|ivanjak95|||Germany|||https://en.wikipedia.org/wiki/Ivana_Vanjak||Q15117302=volleyball player|Q1734=volleyball|intl
Q41806462|Simge Aköz|1991-04-23|simgeakoz|Akzsimge||Turkey||https://eurovolley.cev.eu/team/12624-turkiye/player/66607-sebnem-akoz-simge|https://en.wikipedia.org/wiki/Simge_%C5%9Eebnem_Ak%C3%B6z||Q15117302=volleyball player|Q1734=volleyball|intl
Q42290093|Selma Hetmann|1995-10-27|selmahetmann|||Germany|Volleybox||||Q15117302=volleyball player|Q1734=volleyball|intl
Q42904009|Katja Saari|1971-01-01|katsaari|||Finland|||||Q15117302=volleyball player;Q18667447=pesäpallo player;Q762121=personal trainer;Q974144=educator|Q1295867=pesäpallo;Q1734=volleyball|intl
Q43374020|Beyza Arıcı|1995-07-27|beyzaarici4|||Turkey||https://www.eczacibasisporkulubu.org.tr/eczacibasi-dynavit-takimi/beyza-arici|https://en.wikipedia.org/wiki/Beyza_Ar%C4%B1c%C4%B1||Q15117302=volleyball player|Q1734=volleyball|intl
Q46998355|Erika Mercado|1992-02-27|erikamercado7|||Argentina;Ecuador||http://www.volleyball-bundesliga.de/popup/teamMember/teamMemberDetails.xhtml?teamMemberId=59461502|https://en.wikipedia.org/wiki/Erika_Mercado||Q15117302=volleyball player|Q1734=volleyball|intl
Q46998410|Emily Thater|1995-02-01|emilythater|emilythater||United States|VBL database;Volleybox|https://mutigers.com/sports/womens-volleyball/roster/emily-thater/5180||Missouri Tigers women's volleyball|Q15117302=volleyball player|Q1734=volleyball|ncaa
Q48838372|Paige Tapp|1995-06-21|paigetapp|||United States||https://www.cev.eu/PlayerDetails.aspx?TeamID=11099&SeasonID=0&SeasonType=&G=&PlayerID=73109|https://en.wikipedia.org/wiki/Paige_Sander||Q15117302=volleyball player|Q1734=volleyball|intl
Q51883258|Raquel Löff da Silva|1995-01-02|raquelloff|||Brazil;Portugal|Volleybox||||Q15117302=volleyball player|Q1734=volleyball|intl
Q55217322|Chiaka Ogbogu|1995-04-15|chiaka11|ChiakaOgbogu||United States|Olympedia||https://en.wikipedia.org/wiki/Chiaka_Ogbogu|Texas Longhorns women's volleyball;United States women's national volleyball team|Q15117302=volleyball player|Q1734=volleyball|ncaa
Q55390354|Athina Papafotiou|1989-08-23|athi_papaf|||Greece||http://www.legavolleyfemminile.it/?page_id=194&idat=PAP-ATH-89|https://en.wikipedia.org/wiki/Athina_Papafotiou||Q15117302=volleyball player|Q1734=volleyball;Q4543=beach volleyball|beach
Q55586877|Ayanna Dyette|1986-01-10|yanni_balli|trinigirlyanni||Trinidad and Tobago|||https://en.wikipedia.org/wiki/Ayanna_Dyette||Q15117302=volleyball player;Q17361156=beach volleyball player|Q1734=volleyball;Q4543=beach volleyball|beach
Q56044679|Krystal Rivers|1994-05-23|krysdenise|||United States||https://www.cev.eu/Competition-Area/PlayerDetails.aspx?TeamID=10583&PlayerID=72414&ID=1037|https://en.wikipedia.org/wiki/Krystal_Rivers|Alabama Crimson Tide women's volleyball;United States women's national volleyball team|Q15117302=volleyball player|Q1734=volleyball|ncaa
Q56062458|Odette Ndoye|1992-08-25|dedettevb|||France||http://www.worldofvolley.com/wov-community/players/29137.html|||Q15117302=volleyball player|Q1734=volleyball|intl
Q56062508|Elena Vukić|1991-12-10|elenavukic|||Croatia||http://www.worldofvolley.com/wov-community/players/20087.html|https://en.wikipedia.org/wiki/Elena_Vuki%C4%87||Q15117302=volleyball player|Q1734=volleyball|intl
Q58011215|Naya Crittenden|1995-06-15|nayacrittenden|||United States||https://www.legavolleyfemminile.it/?page_id=194&idat=CRI-NAY-95||Illinois Fighting Illini women's volleyball;Oregon Ducks women's volleyball|Q15117302=volleyball player|Q1734=volleyball|ncaa
Q58133729|Janisa Johnson|1991-09-22|janisa.johnson|||United States||https://sport.wprost.pl/siatkowka/11709802/janisa-johnson-nie-zyje-byla-siatkarka-radomki-miala-32-lata.html|https://en.wikipedia.org/wiki/Janisa_Johnson||Q15117302=volleyball player|Q1734=volleyball|intl
Q58891001|Elena Kountoura|1992-05-03|elena_kountoura|||Greece|||||Q15117302=volleyball player|Q1734=volleyball|intl
Q58892374|Panagiota Rogka|1987-07-04|pennitorogka|||Greece||http://www.worldofvolley.com/wov-community/players/17063.html|||Q15117302=volleyball player|Q1734=volleyball|intl
Q58893369|Apostolia Nousia|1991-03-13|apostolia_nou|||Greece||http://www.worldofvolley.com/wov-community/players/21450.html|||Q15117302=volleyball player|Q1734=volleyball|intl
Q58893499|Maria Oikonomidou|1992-08-18|blackie.10|||Greece||http://www.worldofvolley.com/wov-community/players/119122.html|||Q15117302=volleyball player|Q1734=volleyball|intl
Q58893891|Natalia Metaxa|1992-06-08|natalia.mtx|||Greece||http://www.worldofvolley.com/wov-community/players/98551.html|||Q15117302=volleyball player|Q1734=volleyball|intl
Q58948373|Anna Karpouza|1990-01-09|anna_k_z|||Greece||http://www.worldofvolley.com/wov-community/players/21033.html|||Q15117302=volleyball player|Q1734=volleyball|intl
Q59209361|Haleigh Washington|1995-09-22|hales__storm|Hales__Yeah||United States|Olympedia|https://www.volleyball.world/en/volleyball/ioqt/2019/women-pool3/teams/usa-usa/players/haleigh_washington?id=75733|https://en.wikipedia.org/wiki/Haleigh_Washington|Penn State Nittany Lions women's volleyball;United States women's national volleyball team|Q15117302=volleyball player|Q1734=volleyball|ncaa
Q59858417|Aleksandra Jegdić|1994-10-09|aleksandra1jegdic|||Serbia|VBL database||https://en.wikipedia.org/wiki/Aleksandra_Jegdi%C4%87||Q15117302=volleyball player|Q1734=volleyball|intl
Q60462758|Kayla Haneline|1994-07-04|kaylareahane|||United States||https://unipanthers.com/sports/womens-volleyball/roster/kayla-haneline/3274|https://en.wikipedia.org/wiki/Kayla_Haneline||Q15117302=volleyball player|Q1734=volleyball|intl
Q60825884|Kristina Karapetan|1992-08-03|krisik___karapetyan|||Kazakhstan;Russia|||||Q15117302=volleyball player|Q1734=volleyball|intl
Q61944285|Brittany Abercrombie|1995-12-28|brittanyabercrombie|||United States||https://usctrojans.com/roster.aspx?rp_id=6035|https://en.wikipedia.org/wiki/Brittany_Abercrombie|Puerto Rico women's national volleyball team;USC Trojans women's volleyball|Q15117302=volleyball player|Q1734=volleyball|ncaa
Q63431944|Bethany Zummo|1993-02-15|bethanyzummo|||United States|||https://en.wikipedia.org/wiki/Bethany_Zummo||Q15117302=volleyball player|Q1734=volleyball|intl
Q64005019|Resmiye Çakmak|1994-06-06|resmiyecakmak|||Turkey||http://www.bvbinfo.com/player.asp?ID=15061|||Q15117302=volleyball player;Q17361156=beach volleyball player|Q1734=volleyball;Q4543=beach volleyball|beach
Q64784044|Saki Maruyama|1991-01-01|sachachanocha|sachachanocha||Japan|||||Q15117302=volleyball player|Q1734=volleyball|intl
Q64951455|Fernanda Pereyra|1991-06-30|ferpereyra2|ferpereyra02||Argentina||http://www.bvbinfo.com/player.asp?ID=18220|https://en.wikipedia.org/wiki/Fernanda_Pereyra||Q17361156=beach volleyball player|Q4543=beach volleyball|beach
Q65162192|Sophie Bukovec|1995-01-01|sophiebukovec|||Canada|||https://en.wikipedia.org/wiki/Sophie_Bukovec||Q17361156=beach volleyball player|Q4543=beach volleyball|beach
Q65718629|Sherilyn Bashorun|1993-09-26|adebash_16|||Cameroon;France||http://www.worldofvolley.com/wov-community/players/12136.html|||Q15117302=volleyball player|Q1734=volleyball|intl
Q66124507|Nora Darrhar|1992-08-21|darrharnora|ndarrhar||Morocco||http://www.bvbinfo.com/player.asp?ID=17757|||Q17361156=beach volleyball player|Q4543=beach volleyball|beach
Q66811142|Barbora Koseková|1994-11-22|baarbor|||Slovakia|FIVB database;VBL database|http://www.svf.sk/sk/reprezentacia/zeny/repre/nahravac/barbora-kosekova/;https://brse.hu/player/kosekov%C3%A1-barbora/|https://en.wikipedia.org/wiki/Barbora_Kosekov%C3%A1||Q15117302=volleyball player|Q1734=volleyball|intl
Q66906564|Martina Šamadan|1993-09-11|martina.samadan|||Croatia||https://www.cev.eu/PlayerDetail.aspx?PlayerID=6150|https://en.wikipedia.org/wiki/Martina_%C5%A0amadan||Q15117302=volleyball player;Q17361156=beach volleyball player|Q1734=volleyball;Q4543=beach volleyball|beach
Q67179660|Oumayma Codial|1994-07-05|shayane_94|shayane_94||Italy;Morocco|||||Q15117302=volleyball player|Q1734=volleyball;Q4543=beach volleyball|beach
Q67496341|Mahsa Kadkhoda|1993-06-22|mahsakadkhoda11|||||http://www.worldofvolley.com/wov-community/players/90328.html|https://en.wikipedia.org/wiki/Mahsa_Kadkhoda||Q15117302=volleyball player|Q1734=volleyball|intl
Q67942916|Sofija Medić|1991-01-10|sofija_medic_sosa|||Serbia||https://www.cev.eu/PlayerDetail.aspx?PlayerID=21128|||Q15117302=volleyball player|Q1734=volleyball|intl
Q68017126|Ragni Steen Knudsen|1995-07-24|ragniii|||Norway||https://www.cev.eu/PlayerDetail.aspx?PlayerID=51991|||Q15117302=volleyball player|Q1734=volleyball|intl
Q68193497|Karis Watson|1992-12-30|karisw8|||United States|FIVB database;VBL database|||Clemson Tigers women's volleyball|Q15117302=volleyball player;Q20730881=volleyball coach|Q1734=volleyball|ncaa
Q68224503|Laura Miloš|1994-10-20|lauramilos|||||https://en.volleyballworld.com/volleyball/competitions/women-worldchampionship-2022/players/170571|https://en.wikipedia.org/wiki/Laura_Milo%C5%A1||Q15117302=volleyball player|Q1734=volleyball|intl
Q71717363|Megan Nagy|1989-11-30|megannag_y|megannag_y||Canada||https://volleyball.ca/en/athletes/megan-nagy|||Q17361156=beach volleyball player|Q4543=beach volleyball|beach
Q71718453|Charlotte Sider|1992-08-31|charlottesider|cjsider||Canada||https://volleyball.ca/en/athletes/charlotte-sider|||Q17361156=beach volleyball player|Q4543=beach volleyball|beach
Q71719065|Tori Cowley|1988-09-24|toricowley|||Canada||http://www.bvbinfo.com/player.asp?ID=9514|||Q17361156=beach volleyball player|Q4543=beach volleyball|beach
Q71719490|Kerri Battiston|1989-06-18|klynnbatti|klsmit||Canada||http://www.bvbinfo.com/player.asp?ID=14776|||Q17361156=beach volleyball player|Q4543=beach volleyball|beach
Q78885387|Olga Vergidou|1991-12-17|olgaver13|||Greece||http://www.worldofvolley.com/wov-community/players/46535.html|||Q15117302=volleyball player|Q1734=volleyball|intl
Q85789874|Go Yoo-min|1995-02-09|ming_ppeum_|||South Korea|||||Q15117302=volleyball player|Q1734=volleyball|intl
Q87256477|Cassidy Baird|1995-10-14|cassie_baird2|||United States|FIVB database;Volleybox|https://denverpioneers.com/sports/womens-volleyball/roster/cassie-baird/2403||Denver Pioneers women's volleyball|Q15117302=volleyball player;Q20730881=volleyball coach|Q1734=volleyball|ncaa
