# Session 19 fashion/fitness-model continuation (2026-09-07). Wikidata P106 sweep OFFSET 250–400 + influencer P854.
# qid|name|dob|ig|tt|occ|refUrl|wiki
# Queries: data/research/urls/s18_prom_off{250,300,350,400}.url and s18_inf_off0.url
Q111113507|Hanna Ishikawa|2007-08-03|hanna_ishikawa_||fashion model|https://seventeen-web.jp/news/14761/area2/|
Q11117015|Yūri Morishita|1985-01-30|yuurimorishita||fashion model||https://en.wikipedia.org/wiki/Yuuri_Morishita
Q111294672|Sirilak Kwong|1995-05-11|linglingkwong||model||https://en.wikipedia.org/wiki/Sirilak_Kwong
Q11138056|Shen Mengchen|1989-06-13|dream_613||model||https://en.wikipedia.org/wiki/Shen_Mengchen
Q1114127|Minami|1986-09-22|minamimanim||fashion model|https://minami-imanim.com/bio/|https://en.wikipedia.org/wiki/Minami_(actress)
Q111524990|Carla Castañé|2005-06-01|carla.castane|carla.castane|model||https://en.wikipedia.org/wiki/Carla_Castañé
Q111535882|Ana Tomeno|1998-07-29|anatomeno||model|https://www.formulatv.com/personas/ana-tomeno/|
Q111592126|Büşra Duran Gündüz|1993-07-29|hell0busra||model|https://www.mynet.com/turk-influencer-busra-duran-gunduz-kimdir-kac-yasinda-ve-nereli-iste-biyografisi-379220-mymagazin|
Q111600123|Anita Chukwumfumnanya Obidi|1991-06-23|korraobidi||model||https://en.wikipedia.org/wiki/Korra_Obidi
Q111603459|Laksmi De-Neefe Suardana|1996-01-29|laksmideneefe|laksmideneefe|model||https://en.wikipedia.org/wiki/Laksmi_De-Neefe_Suardana
Q111627913|Sera Malika|2002-11-16|seramali_jsmn||fashion model|https://talent.platinumproduction.jp/seramalika|
Q111650228|Neha Shetty|1995-01-01|iamnehashetty||model||https://en.wikipedia.org/wiki/Neha_Shetty
Q111650966|Malika El Maslouhi|1999-01-01|malika.elmaslouhi||model||https://en.wikipedia.org/wiki/Malika_El_Maslouhi
Q111686930|Laura Ledesma|1993-06-02|lauraledesmaa||model||https://en.wikipedia.org/wiki/Laura_Ledesma
Q111702216|Alexa Collins|1995-10-12|alexacollins|alexanicolecollins|model||https://en.wikipedia.org/wiki/Alexa_Collins
Q11174900|Shristi Shrestha|1989-10-18|shristishrestha||model||https://en.wikipedia.org/wiki/Shristi_Shrestha
Q111802382|Nimrit Kaur Ahluwalia|1994-12-11|nimritahluwalia||model||https://en.wikipedia.org/wiki/Nimrit_Kaur_Ahluwalia
Q111890121|Andrea Kevichüsa|2001-02-18|andreakevichusa||model||https://en.wikipedia.org/wiki/Andrea_Kevichüsa
Q111906330|Mae Mae Renfrow|1997-04-20|maemae381||model|https://www.famousbirthdays.com/people/maemae-renfrow.html|https://en.wikipedia.org/wiki/MaeMae_Renfrow
Q111985620|Merub Ali|2002-01-21|meruub||model||https://en.wikipedia.org/wiki/Merub_Ali
Q111998338|Krystyna Pyszková|1999-01-19|krystyna_pyszko||model|https://www.missczechrep.cz/finalistky/2022-4-krystyna-pyszkova|https://en.wikipedia.org/wiki/Krystyna_Pyszková
Q112036936|Brenda Zambrano|1993-06-13|brendazambranoc||model||https://en.wikipedia.org/wiki/Brenda_Zambrano
Q112147135|Lou-Anne Gleißenebner|2003-05-20|louanne.official||model||https://en.wikipedia.org/wiki/Lou-Anne_Gleißenebner-Teskey
Q102362726|Ellbat|1998-09-27|elenabatman|ellbat|Internet celebrity|https://www.famousbirthdays.com/people/elena-bateman.html|
Q102978467|Devenity Perkins|2003-08-13|devenityy||Internet celebrity|https://www.famousbirthdays.com/people/devenity-perkins.html|
Q107183479|Isabelle Eriksen|1996-11-10|isabelleeriksen_||influencer|https://www.famousbirthdays.com/people/isabelle-eriksen.html|
Q107412590|Mariam Star|2006-07-07|mariamstar1_|mariamstar1|Internet celebrity|https://www.famousbirthdays.com/people/mariamstar1.html|
